id,texto,usuario,hashtags,fecha,retweets,favoritos,TextBlob_Polarity,TextBlob_Analysis,temp_list,temp_list1
1,Virtual reality technology is revolutionizing the way we experience video games.##Videojuegos technology,gamers_unidos,"['tecnología', 'videojuegos']",2023-03-13 16:45:00,23,87,0.0,Neutral,"['Virtual', 'reality', 'technology', 'revolutionizing', 'way', 'experience', 'video', 'games.##Videojuegos', 'technology']","['Virtual', 'reality', 'technology', 'revolutionizing', 'way', 'experience', 'video', 'games.##Videojuegos', 'technology']"
2,Apple announces the launch of its new iPhone 15 with improved camera and 6.7 -inch OLED screen.#Apple #iPhone15,tech_news,"['Apple', 'iPhone15']",2023-03-12 10:30:00,234,1876,0.13636363636363635,Positive,"['Apple', 'announces', 'launch', 'new', 'iPhone', '15', 'improved', 'camera', '6.7', '-inch', 'OLED', 'screen.#Apple', '#iPhone15']","['Apple', 'announces', 'launch', 'new', 'iPhone', '15', 'improved', 'camera', '6.7', '-inch', 'OLED', 'screen.#Apple', '#iPhone15']"
3,Google presents its new virtual assistant with artificial intelligence that allows you to control the home from the smartphone.#Google #Hogarinteligente,tech_guru,"['Google', 'hogarinteligente']",2023-03-11 15:20:00,78,489,-0.2318181818181818,Negative,"['Google', 'presents', 'new', 'virtual', 'assistant', 'artificial', 'intelligence', 'allows', 'control', 'home', 'smartphone.#Google', '#Hogarinteligente']","['Google', 'presents', 'new', 'virtual', 'assistant', 'artificial', 'intelligence', 'allows', 'control', 'home', 'smartphone.#Google', '#Hogarinteligente']"
4,The Spacex technology company announces the launch of its first commercial flight to the Moon.#Spacex #vuelolunar,espaciofan,"['SpaceX', 'vuelolunar']",2023-03-10 13:10:00,109,732,0.125,Positive,"['The', 'Spacex', 'technology', 'company', 'announces', 'launch', 'first', 'commercial', 'flight', 'Moon.#Spacex', '#vuelolunar']","['The', 'Spacex', 'technology', 'company', 'announces', 'launch', 'first', 'commercial', 'flight', 'Moon.#Spacex', '#vuelolunar']"
5,DJI's new drone is able to record video in 8K and has a flight time of up to 45 minutes.#Drones #Technology,dron_adicto,"['drones', 'tecnología']",2023-03-09 17:05:00,45,256,0.3181818181818182,Positive,"[""DJI's"", 'new', 'drone', 'able', 'record', 'video', '8K', 'flight', 'time', '45', 'minutes.#Drones', '#Technology']","[""DJI's"", 'new', 'drone', 'able', 'record', 'video', '8K', 'flight', 'time', '45', 'minutes.#Drones', '#Technology']"
6,The NVIDIA technology company launches its new RTX 5080 graphics card with 24 GB of Ray Tracing in real time.#Nvidia #cardographic,pc_master_race,"['Nvidia', 'tarjetagráfica']",2023-03-08 11:55:00,167,1045,0.16818181818181818,Positive,"['The', 'NVIDIA', 'technology', 'company', 'launches', 'new', 'RTX', '5080', 'graphics', 'card', '24', 'GB', 'Ray', 'Tracing', 'real', 'time.#Nvidia', '#cardographic']","['The', 'NVIDIA', 'technology', 'company', 'launches', 'new', 'RTX', '5080', 'graphics', 'card', '24', 'GB', 'Ray', 'Tracing', 'real', 'time.#Nvidia', '#cardographic']"
7,New iPhone 13 with 120Hz screen,tech_news,"['iPhone', 'tecnologia']",2022-02-27 10:20:30,50,150,0.13636363636363635,Positive,"['New', 'iPhone', '13', '120Hz', 'screen']","['New', 'iPhone', '13', '120Hz', 'screen']"
8,The next generation of Intel processors promises a great advance in performance,tech_world,"['Intel', 'procesadores']",2022-02-26 08:30:15,120,250,0.4,Positive,"['The', 'next', 'generation', 'Intel', 'processors', 'promises', 'great', 'advance', 'performance']","['The', 'next', 'generation', 'Intel', 'processors', 'promises', 'great', 'advance', 'performance']"
9,Samsung presents its new folding phone,smartphone_lover,"['Samsung', 'teléfonos plegables']",2022-02-25 15:45:00,30,80,0.13636363636363635,Positive,"['Samsung', 'presents', 'new', 'folding', 'phone']","['Samsung', 'presents', 'new', 'folding', 'phone']"
10,Apple presents its new Macbook Pro line with M2 chip,apple_news,"['MacBook', 'Apple']",2022-02-24 12:10:05,80,200,0.13636363636363635,Positive,"['Apple', 'presents', 'new', 'Macbook', 'Pro', 'line', 'M2', 'chip']","['Apple', 'presents', 'new', 'Macbook', 'Pro', 'line', 'M2', 'chip']"
11,Google announces new tools for Android developers,android_dev,"['Android', 'desarrollo']",2022-02-23 09:00:20,40,100,0.13636363636363635,Positive,"['Google', 'announces', 'new', 'tools', 'Android', 'developers']","['Google', 'announces', 'new', 'tools', 'Android', 'developers']"
12,Elon Musk announces a new spacex rocket launch,spacex_fan,"['SpaceX', 'Elon Musk']",2022-02-22 14:30:45,120,300,0.13636363636363635,Positive,"['Elon', 'Musk', 'announces', 'new', 'spacex', 'rocket', 'launch']","['Elon', 'Musk', 'announces', 'new', 'spacex', 'rocket', 'launch']"
13,Microsoft launches an important update for Windows 11,windows_user,"['Windows', 'actualización']",2022-02-21 11:40:10,60,150,0.4,Positive,"['Microsoft', 'launches', 'important', 'update', 'Windows', '11']","['Microsoft', 'launches', 'important', 'update', 'Windows', '11']"
14,The Apple technological giant presents its new product line in a virtual event.Among the novelties are the new iPhone and the Apple Watch Series 8. #Appleevent #Nuevos Products,appleguru,"['AppleEvent', 'nuevosproductos']",2023-03-11 10:30:00,652,4121,0.0909090909090909,Positive,"['The', 'Apple', 'technological', 'giant', 'presents', 'new', 'product', 'line', 'virtual', 'event.Among', 'novelties', 'new', 'iPhone', 'Apple', 'Watch', 'Series', '8.', '#Appleevent', '#Nuevos', 'Products']","['The', 'Apple', 'technological', 'giant', 'presents', 'new', 'product', 'line', 'virtual', 'event.Among', 'novelties', 'new', 'iPhone', 'Apple', 'Watch', 'Series', '8.', '#Appleevent', '#Nuevos', 'Products']"
